construct_id	ln229cas9At28_S2_trimmed53_len_filtered_counts	ln229parentt28_S1_trimmed53_len_filtered_counts	ln229cas9trex2Bt28_S5_trimmed53_len_filtered_counts	Undetermined_S0_trimmed53_len_filtered_counts	ln229cas9trex2At28_S4_trimmed53_len_filtered_counts	ln229cas9Bt28_S3_trimmed53_len_filtered_counts
KDM5C_chrX_53254068__CDH1_chr16_68772255	750	53	73	25	377	110
KDM5C_chrX_53254068__CDK4_chr12_58143253	830	360	127	51	111	1339
KDM5C_chrX_53254068__CDK4_chr12_58144705	1050	699	310	60	417	891
KDM5C_chrX_53254068__CDK9_chr9_130548409	214	584	335	53	929	722
KDM5C_chrX_53254068__CDK9_chr9_130550235	59	414	413	34	323	738
KDM5C_chrX_53254068__CDKN1B_chr12_12870777	262	155	74	14	39	266
KDM5C_chrX_53254068__CDKN1B_chr12_12871196	293	196	9	26	402	697
KDM5C_chrX_53254068__CDKN2A_chr9_21968726	1068	197	570	48	510	201
KDM5C_chrX_53254068__CHEK1_chr11_125496687	562	62	182	17	2	18
KDM5C_chrX_53254068__CHEK2_chr22_29130694	851	431	2008	75	428	300
KDM5C_chrX_53254068__DHFR_chr5_79949819	8	97	8	6	249	64
KDM5C_chrX_53254068__DHFR_chr5_79950216	247	682	1207	99	1496	2540
KDM5C_chrX_53254068__DHFR_chr5_79950217	579	245	9	25	99	617
KDM5C_chrX_53254068__EGFR_chr7_55086962	1139	571	281	72	678	596
KDM5C_chrX_53254068__EGFR_chr7_55209986	1251	410	1123	78	577	1932
KDM5C_chrX_53254068__ERBB2_chr17_37868221	783	147	57	17	3	16
KDM5C_chrX_53254068__ERBB2_chr17_37868292	1248	147	980	41	22	234
KDM5C_chrX_53254068__FGFR3_chr4_1795735	517	621	891	57	639	999
KDM5C_chrX_53254068__FGFR3_chr4_1795736	60	104	211	13	194	29
KDM5C_chrX_53254068__FLT3_chr13_28636172	1222	433	30	44	1047	284
KDM5C_chrX_53254068__FLT3_chr13_28674643	937	824	174	57	1463	300
KDM5C_chrX_53254068__FNTA_chr8_42911471	38	73	35	7	5	164
KDM5C_chrX_53254068__GATA3_chr10_8097612	543	181	508	43	354	1403
KDM5C_chrX_53254068__GATA3_chr10_8097722	333	138	17	19	41	478
KDM5C_chrX_53254068__HDAC1_chr1_32757816	1327	307	304	32	574	298
KDM5C_chrX_53254068__HDAC1_chr1_32792601	646	149	907	38	341	146
KDM5C_chrX_53254068__HDAC2_chr6_114266539	439	240	11	22	8	315
KDM5C_chrX_53254068__HDAC6_chrX_48661089	233	258	18	18	501	81
KDM5C_chrX_53254068__HDAC6_chrX_48674389	146	309	225	22	53	434
KDM5C_chrX_53254068__HSP90AA1_chr14_102551760	514	482	423	41	66	990
KDM5C_chrX_53254068__HSP90AA1_chr14_102552141	1698	675	329	52	131	458
KDM5C_chrX_53254068__HSP90AA1_chr14_102605736	993	873	684	82	41	1051
KDM5C_chrX_53254068__IGF1R_chr15_99192824	891	298	855	37	349	738
KDM5C_chrX_53254068__IGF1R_chr15_99434807	305	263	361	47	1207	460
KDM5C_chrX_53254068__JAK2_chr9_5050721	186	257	878	32	435	824
KDM5C_chrX_53254068__KDM6A_chrX_44732838	547	380	149	47	1279	122
KDM5C_chrX_53254068__KDM6A_chrX_44820615	453	196	124	13	32	637
KDM5C_chrX_53254068__KDM6A_chrX_44820616	159	88	17	13	53	496
KDM5C_chrX_53254068__KIT_chr4_55524164	204	310	366	49	1426	35
KDM5C_chrX_53254068__KIT_chr4_55524229	222	183	239	15	47	245
KDM5C_chrX_53254068__KMT2D_chr12_49448161	538	138	519	28	236	640
KDM5C_chrX_53254068__MAP2K1_chr15_66679756	845	222	173	41	739	495
KDM5C_chrX_53254068__MET_chr7_116340188	2112	310	589	74	685	221
KDM5C_chrX_53254068__MLH1_chr3_37045912	783	313	1268	58	398	271
KDM5C_chrX_53254068__MTOR_chr1_11319459	382	219	177	18	103	718
KDM5C_chrX_53254068__NF1_chr17_29483038	956	197	708	37	519	136
KDM5C_chrX_53254068__NonTargetingControlGuideForHuman0362	701	516	1073	94	2498	693
KDM5C_chrX_53254068__NonTargetingControlGuideForHuman0412	295	580	1418	51	379	681
KDM5C_chrX_53254068__PARP1_chr1_226578249	3241	368	1010	93	881	346
KDM5C_chrX_53254068__PARP1_chr1_226578301	470	52	124	12	10	159
KDM5C_chrX_53254068__PBRM1_chr3_52696257	297	185	885	48	1183	318
KDM5C_chrX_53254068__PBRM1_chr3_52702516	886	128	8	17	70	196
KDM5C_chrX_53254068__PIK3CA_chr3_178916614	113	231	38	19	59	397
KDM5C_chrX_53254068__PRKDC_chr8_48686398	481	250	1083	48	307	850
KDM5C_chrX_53254068__PRKDC_chr8_48686781	665	534	34	61	1034	945
KDM5C_chrX_53254068__PRKDC_chr8_48872683	216	98	246	37	1243	60
KDM5C_chrX_53254068__RB1_chr13_48934148	47	220	47	12	3	639
KDM5C_chrX_53254068__RB1_chr13_48936969	173	215	3	18	366	378
KDM5C_chrX_53254068__ROR1_chr1_64240089	1549	276	439	40	136	708
KDM5C_chrX_53254068__RPS6KB1_chr17_57987949	1278	253	602	40	70	1011
KDM5C_chrX_53254068__RRM2_chr2_10262940	940	1337	2481	100	271	629
KDM5C_chrX_53254068__RRM2_chr2_10262957	208	154	389	47	606	732
KDM5C_chrX_53254068__RUNX1_chr21_36252860	773	612	497	69	1699	583
KDM5C_chrX_53254068__RUNX1_chr21_36421144	439	390	266	46	519	1018
KDM5C_chrX_53254068__SMAD4_chr18_48573460	476	59	9	6	105	101
KDM5C_chrX_53254068__SMAD4_chr18_48575673	191	102	110	14	180	308
KDM5C_chrX_53254068__SMAD4_chr18_48586241	895	154	1232	63	839	437
KDM5C_chrX_53254068__SMARCA4_chr19_11095011	1321	227	405	69	911	1176
KDM5C_chrX_53254068__SMO_chr7_128828974	149	180	320	17	345	113
KDM5C_chrX_53254068__SMO_chr7_128845117	281	106	79	8	12	524
KDM5C_chrX_53254068__SRC_chr20_36012562	594	145	89	32	193	800
KDM5C_chrX_53254068__TOP1_chr20_39657693	2882	273	245	50	427	380
KDM5C_chrX_53254068__TOP1_chr20_39690055	2	54	6	6	179	7
KDM5C_chrX_53254068__TOP1_chr20_39690109	2	173	1	6	1	7
KDM5C_chrX_53254068__TP53_chr17_7578373	1314	194	290	45	657	142
KDM5C_chrX_53254068__TSC1_chr9_135796748	1768	499	324	56	355	1445
KDM5C_chrX_53254068__TSC1_chr9_135796796	552	220	682	35	144	231
KDM5C_chrX_53254068__TSC1_chr9_135804256	753	117	311	16	171	47
KDM5C_chrX_53254068__TYMS_chr18_657730	317	332	735	41	112	398
KDM5C_chrX_53254068__TYMS_chr18_659665	1224	779	321	65	341	211
KDM5C_chrX_53254068__VEGFA_chr6_43738425	344	221	571	37	817	576
KDM6A_chrX_44732838__ABL1_chr9_133589790	550	183	30	50	570	417
KDM6A_chrX_44732838__ABL1_chr9_133738356	1095	234	698	64	436	993
KDM6A_chrX_44732838__ADA_chr20_43257769	852	500	462	79	807	419
KDM6A_chrX_44732838__AKT1_chr14_105239609	491	122	10	22	367	300
KDM6A_chrX_44732838__ALK_chr2_29541171	161	184	41	16	177	398
KDM6A_chrX_44732838__ALK_chr2_29541172	521	97	437	22	62	90
KDM6A_chrX_44732838__ALK_chr2_30143522	392	289	1119	71	966	406
KDM6A_chrX_44732838__APC_chr5_112102023	6	51	491	20	3	100
KDM6A_chrX_44732838__APC_chr5_112102933	270	65	595	28	541	288
KDM6A_chrX_44732838__ARID1A_chr1_27056286	105	646	159	46	56	190
KDM6A_chrX_44732838__ARID2_chr12_46123614	6	39	78	3	3	35
KDM6A_chrX_44732838__ARID2_chr12_46205318	524	296	469	49	541	586
KDM6A_chrX_44732838__ATM_chr11_108098350	110	278	570	57	1075	65
KDM6A_chrX_44732838__ATM_chr11_108098390	796	244	330	50	249	366
KDM6A_chrX_44732838__BCL2_chr18_60795960	187	346	409	30	292	153
KDM6A_chrX_44732838__BRAF_chr7_140508787	1245	471	367	51	372	186
KDM6A_chrX_44732838__BRAF_chr7_140534469	690	288	150	55	197	169
KDM6A_chrX_44732838__BRAF_chr7_140624501	603	127	65	45	96	979
KDM6A_chrX_44732838__BRCA1_chr17_41256141	520	271	942	51	288	200
KDM6A_chrX_44732838__BRCA1_chr17_41276018	333	367	68	36	223	423
KDM6A_chrX_44732838__BRCA2_chr13_32890586	446	152	91	32	61	322
KDM6A_chrX_44732838__BRCA2_chr13_32914228	362	431	109	35	168	5
KDM6A_chrX_44732838__BRD4_chr19_15376361	64	69	2	4	46	58
KDM6A_chrX_44732838__BRD4_chr19_15383894	244	444	462	67	584	645
KDM6A_chrX_44732838__BTK_chrX_100626613	1364	146	42	51	10	404
KDM6A_chrX_44732838__CASP8_chr2_202131404	514	454	438	42	121	41
KDM6A_chrX_44732838__CDH1_chr16_68771300	1035	729	604	80	12	476
KDM6A_chrX_44732838__CDH1_chr16_68772250	292	273	237	19	76	267
KDM6A_chrX_44732838__CDK4_chr12_58143253	136	299	142	29	545	318
KDM6A_chrX_44732838__CDK4_chr12_58144705	2	115	727	41	483	365
KDM6A_chrX_44732838__CDK6_chr7_92244474	155	230	225	26	9	216
KDM6A_chrX_44732838__CDK6_chr7_92462628	194	76	254	24	338	385
KDM6A_chrX_44732838__CDK9_chr9_130548409	792	257	495	52	417	575
KDM6A_chrX_44732838__CDK9_chr9_130550235	141	129	491	23	2	146
KDM6A_chrX_44732838__CDKN1B_chr12_12871196	474	148	357	56	588	957
KDM6A_chrX_44732838__CDKN2A_chr9_21968726	1241	355	232	48	20	45
KDM6A_chrX_44732838__CHEK1_chr11_125499147	358	83	5	11	3	48
KDM6A_chrX_44732838__CHEK2_chr22_29090029	72	47	7	14	7	261
KDM6A_chrX_44732838__DHFR_chr5_79950216	391	472	435	55	205	823
KDM6A_chrX_44732838__DHFR_chr5_79950217	1489	440	670	76	426	456
KDM6A_chrX_44732838__EGFR_chr7_55086962	908	517	336	83	456	1554
KDM6A_chrX_44732838__FGFR2_chr10_123298215	427	234	17	27	105	224
KDM6A_chrX_44732838__FGFR3_chr4_1795736	380	561	17	54	211	692
KDM6A_chrX_44732838__FLT3_chr13_28636131	398	156	261	36	520	115
KDM6A_chrX_44732838__FLT3_chr13_28636172	239	317	10	44	802	614
KDM6A_chrX_44732838__FLT3_chr13_28674643	1909	535	384	103	415	1102
KDM6A_chrX_44732838__FNTA_chr8_42911471	964	194	95	35	133	106
KDM6A_chrX_44732838__FNTA_chr8_42924781	40	75	505	30	514	138
KDM6A_chrX_44732838__GATA3_chr10_8097612	70	540	353	44	57	385
KDM6A_chrX_44732838__GATA3_chr10_8097722	2166	192	1213	103	464	806
KDM6A_chrX_44732838__HDAC1_chr1_32757816	405	513	246	41	47	494
KDM6A_chrX_44732838__HDAC2_chr6_114266539	283	289	20	43	364	685
KDM6A_chrX_44732838__HDAC6_chrX_48661089	545	148	328	38	3	416
KDM6A_chrX_44732838__HDAC6_chrX_48674389	149	298	271	36	167	236
KDM6A_chrX_44732838__HSP90AA1_chr14_102551760	345	414	68	26	60	239
KDM6A_chrX_44732838__HSP90AA1_chr14_102605736	1259	491	1196	103	433	920
KDM6A_chrX_44732838__IGF1R_chr15_99192824	1074	326	32	68	681	919
KDM6A_chrX_44732838__IGF1R_chr15_99434807	438	277	303	46	771	161
KDM6A_chrX_44732838__JAK2_chr9_5050721	987	101	219	33	107	121
KDM6A_chrX_44732838__KDM5C_chrX_53241022	237	202	155	44	485	425
KDM6A_chrX_44732838__KMT2D_chr12_49448161	110	133	85	28	414	283
KDM6A_chrX_44732838__MAP2K1_chr15_66679721	781	227	630	83	485	689
KDM6A_chrX_44732838__MAP2K1_chr15_66679728	56	328	1006	78	715	474
KDM6A_chrX_44732838__MAP2K1_chr15_66679756	620	231	97	64	543	782
KDM6A_chrX_44732838__MAP3K1_chr5_56111382	6	153	36	4	2	8
KDM6A_chrX_44732838__MAP3K1_chr5_56152466	88	79	512	30	281	15
KDM6A_chrX_44732838__MET_chr7_116340207	196	634	212	66	220	1086
KDM6A_chrX_44732838__MLH1_chr3_37045912	363	82	342	18	22	82
KDM6A_chrX_44732838__MSH6_chr2_48018111	1537	948	1724	150	2129	595
KDM6A_chrX_44732838__MTOR_chr1_11317149	861	302	514	50	316	153
KDM6A_chrX_44732838__MTOR_chr1_11319459	367	83	27	22	213	246
KDM6A_chrX_44732838__NF1_chr17_29483038	9	350	223	34	52	135
KDM6A_chrX_44732838__NF1_chr17_29483039	256	122	167	17	364	9
KDM6A_chrX_44732838__NonTargetingControlGuideForHuman0352	617	675	153	71	602	433
KDM6A_chrX_44732838__PARP1_chr1_226578249	49	215	17	16	85	104
KDM6A_chrX_44732838__PARP1_chr1_226578301	455	234	331	38	186	182
KDM6A_chrX_44732838__PARP1_chr1_226595581	38	601	239	49	589	203
KDM6A_chrX_44732838__PBRM1_chr3_52696257	43	145	23	9	16	276
KDM6A_chrX_44732838__PBRM1_chr3_52702516	987	291	222	50	374	154
KDM6A_chrX_44732838__PBRM1_chr3_52713723	583	226	445	37	336	183
KDM6A_chrX_44732838__PDGFRA_chr4_55124963	1140	818	1334	134	756	995
KDM6A_chrX_44732838__PIK3CA_chr3_178916614	445	190	151	51	274	1263
KDM6A_chrX_44732838__PIK3CA_chr3_178919167	188	202	256	43	638	225
KDM6A_chrX_44732838__PIK3R1_chr5_67522521	808	231	6	45	615	193
KDM6A_chrX_44732838__PRKDC_chr8_48872683	150	181	493	52	757	421
KDM6A_chrX_44732838__RB1_chr13_48878054	447	126	117	20	0	123
KDM6A_chrX_44732838__RB1_chr13_48934148	409	49	196	40	356	364
KDM6A_chrX_44732838__RB1_chr13_48936969	227	74	10	10	5	171
KDM6A_chrX_44732838__RPS6KB1_chr17_57987949	1186	241	480	58	395	324
KDM6A_chrX_44732838__RUNX1_chr21_36421144	306	285	82	26	4	229
KDM6A_chrX_44732838__SMAD4_chr18_48586241	718	97	338	30	25	157
KDM6A_chrX_44732838__SMARCB1_chr22_24133949	622	160	67	27	3	18
KDM6A_chrX_44732838__SMARCB1_chr22_24133993	98	101	310	23	0	57
KDM6A_chrX_44732838__SMO_chr7_128828974	1965	253	141	111	630	1528
KDM6A_chrX_44732838__SMO_chr7_128845117	140	171	209	25	4	442
KDM6A_chrX_44732838__SRC_chr20_36012562	253	125	20	34	92	982
KDM6A_chrX_44732838__TOP1_chr20_39657693	1045	608	214	61	54	327
KDM6A_chrX_44732838__TOP1_chr20_39690055	2	49	473	27	611	243
KDM6A_chrX_44732838__TP53_chr17_7578373	895	267	202	58	456	426
KDM6A_chrX_44732838__TSC1_chr9_135796748	243	283	492	56	738	418
KDM6A_chrX_44732838__TSC1_chr9_135796796	584	357	678	61	553	378
KDM6A_chrX_44732838__TYMS_chr18_657730	1400	514	841	124	1121	566
KDM6A_chrX_44732838__TYMS_chr18_659665	933	363	413	53	497	151
KDM6A_chrX_44732838__VHL_chr3_10183773	95	65	333	27	73	482
KDM6A_chrX_44732838__VHL_chr3_10183791	69	57	4	20	469	3
KDM6A_chrX_44732838__WEE1_chr11_9595462	1230	673	1070	145	1084	1156
KDM6A_chrX_44732838__WEE1_chr11_9595542	438	218	3	39	731	259
KDM6A_chrX_44820615__ABL1_chr9_133738283	971	306	697	60	119	884
KDM6A_chrX_44820615__ABL1_chr9_133738356	485	274	1709	103	1866	1369
KDM6A_chrX_44820615__ADA_chr20_43257769	397	326	177	32	318	58
KDM6A_chrX_44820615__AKT1_chr14_105258968	488	105	118	30	356	904
KDM6A_chrX_44820615__ALK_chr2_29541171	5	104	196	8	3	4
KDM6A_chrX_44820615__ALK_chr2_30143522	380	623	254	32	144	726
KDM6A_chrX_44820615__APC_chr5_112102933	882	138	782	34	372	55
KDM6A_chrX_44820615__ARID1A_chr1_27022876	119	126	11	22	668	14
KDM6A_chrX_44820615__ARID1A_chr1_27056288	286	1155	910	51	13	376
KDM6A_chrX_44820615__BCL2_chr18_60795945	94	53	20	6	85	90
KDM6A_chrX_44820615__BRAF_chr7_140508787	132	172	223	14	366	16
KDM6A_chrX_44820615__BRAF_chr7_140534469	161	651	380	74	563	2770
KDM6A_chrX_44820615__BRCA1_chr17_41267735	78	74	293	10	75	115
KDM6A_chrX_44820615__BRCA1_chr17_41276018	4	111	4	3	2	265
KDM6A_chrX_44820615__BRCA2_chr13_32912006	1002	317	118	31	3	231
KDM6A_chrX_44820615__BRCA2_chr13_32914228	33	156	124	9	196	102
KDM6A_chrX_44820615__BRD4_chr19_15383894	533	119	104	36	517	228
KDM6A_chrX_44820615__BTK_chrX_100645534	980	268	279	37	12	115
KDM6A_chrX_44820615__CASP8_chr2_202134297	1018	455	416	57	301	987
KDM6A_chrX_44820615__CDH1_chr16_68771300	329	207	200	28	208	233
KDM6A_chrX_44820615__CDH1_chr16_68772255	291	225	445	23	0	544
KDM6A_chrX_44820615__CDK4_chr12_58143253	10	161	764	23	11	259
KDM6A_chrX_44820615__CDK4_chr12_58144705	64	453	37	29	286	359
KDM6A_chrX_44820615__CDK6_chr7_92252365	312	92	322	48	1289	757
KDM6A_chrX_44820615__CDK9_chr9_130548409	1105	293	251	35	205	289
KDM6A_chrX_44820615__CDKN1B_chr12_12870931	271	161	363	21	6	73
KDM6A_chrX_44820615__CDKN2A_chr9_21994327	515	182	107	24	515	283
KDM6A_chrX_44820615__CHEK1_chr11_125496687	19	261	3	10	4	117
KDM6A_chrX_44820615__CHEK1_chr11_125499147	646	92	266	15	3	166
KDM6A_chrX_44820615__CHEK2_chr22_29130694	727	404	62	51	681	311
KDM6A_chrX_44820615__DHFR_chr5_79950216	387	227	10	9	5	60
KDM6A_chrX_44820615__DHFR_chr5_79950217	9	185	44	14	140	361
KDM6A_chrX_44820615__EGFR_chr7_55086962	340	588	18	50	379	124
KDM6A_chrX_44820615__EGFR_chr7_55209986	2019	892	934	96	689	851
KDM6A_chrX_44820615__EGFR_chr7_55209992	78	95	26	32	487	804
KDM6A_chrX_44820615__FGFR2_chr10_123298118	1274	264	107	39	377	351
KDM6A_chrX_44820615__FGFR2_chr10_123298215	88	54	10	8	363	307
KDM6A_chrX_44820615__FGFR3_chr4_1795735	1023	1092	65	56	161	418
KDM6A_chrX_44820615__FGFR3_chr4_1795736	9	95	171	11	3	327
KDM6A_chrX_44820615__FLT3_chr13_28636131	385	383	194	77	1111	1225
KDM6A_chrX_44820615__FLT3_chr13_28636172	653	239	121	31	276	15
KDM6A_chrX_44820615__FNTA_chr8_42911471	123	302	161	18	56	336
KDM6A_chrX_44820615__GATA3_chr10_8097612	204	135	126	15	68	362
KDM6A_chrX_44820615__HDAC1_chr1_32792637	54	372	1392	48	130	482
KDM6A_chrX_44820615__HDAC2_chr6_114266539	1036	258	177	48	590	533
KDM6A_chrX_44820615__HDAC2_chr6_114267214	4	52	236	17	447	478
KDM6A_chrX_44820615__HSP90AA1_chr14_102605736	809	739	988	83	475	1506
KDM6A_chrX_44820615__IGF1R_chr15_99192824	235	164	103	34	1107	597
KDM6A_chrX_44820615__IGF1R_chr15_99434664	438	261	327	35	349	697
KDM6A_chrX_44820615__JAK2_chr9_5050816	299	344	2	18	157	72
KDM6A_chrX_44820615__KDM5C_chrX_53241021	17	283	4	9	305	3
KDM6A_chrX_44820615__KDM5C_chrX_53241022	223	247	91	36	109	1328
KDM6A_chrX_44820615__KIT_chr4_55524176	376	470	64	31	659	167
KDM6A_chrX_44820615__MAP2K1_chr15_66679721	677	184	910	39	1158	215
KDM6A_chrX_44820615__MAP2K1_chr15_66679728	828	269	6	63	2249	71
KDM6A_chrX_44820615__MAP2K1_chr15_66679756	268	455	44	23	10	26
KDM6A_chrX_44820615__MAP3K1_chr5_56111382	323	205	2	24	383	135
KDM6A_chrX_44820615__MAP3K1_chr5_56152466	1464	90	198	43	111	388
KDM6A_chrX_44820615__MAP3K1_chr5_56152485	89	203	227	75	1135	1791
KDM6A_chrX_44820615__MET_chr7_116339123	2	529	604	42	361	87
KDM6A_chrX_44820615__MET_chr7_116340207	504	308	306	66	1738	230
KDM6A_chrX_44820615__MLH1_chr3_37035029	714	226	498	30	230	658
KDM6A_chrX_44820615__MSH6_chr2_48010356	163	104	498	22	29	169
KDM6A_chrX_44820615__MTOR_chr1_11317149	4	68	61	17	230	528
KDM6A_chrX_44820615__MTOR_chr1_11319459	315	84	628	18	135	209
KDM6A_chrX_44820615__NF1_chr17_29422308	148	565	785	53	618	332
KDM6A_chrX_44820615__NF1_chr17_29483038	353	708	249	64	1481	86
KDM6A_chrX_44820615__NF1_chr17_29483039	34	574	573	54	1571	507
KDM6A_chrX_44820615__NonTargetingControlGuideForHuman0352	326	164	478	26	352	370
KDM6A_chrX_44820615__PARP1_chr1_226578249	1018	668	572	69	364	1091
KDM6A_chrX_44820615__PARP1_chr1_226578301	429	252	396	34	601	133
KDM6A_chrX_44820615__PARP1_chr1_226595581	106	140	428	31	235	435
KDM6A_chrX_44820615__PBRM1_chr3_52696257	3	263	150	8	1	61
KDM6A_chrX_44820615__PDGFRA_chr4_55129914	532	138	1301	41	10	297
KDM6A_chrX_44820615__PIK3CA_chr3_178916614	2648	510	13	75	6	969
KDM6A_chrX_44820615__PRKDC_chr8_48686398	541	126	13	15	3	128
KDM6A_chrX_44820615__PRKDC_chr8_48686781	99	159	131	23	88	882
KDM6A_chrX_44820615__PTEN_chr10_89653786	166	190	562	31	85	1056
KDM6A_chrX_44820615__RB1_chr13_48934148	35	47	292	15	247	284
KDM6A_chrX_44820615__RB1_chr13_48936969	53	199	41	30	553	403
KDM6A_chrX_44820615__ROR1_chr1_64240143	66	141	348	6	52	125
KDM6A_chrX_44820615__RPS6KB1_chr17_57987922	5	54	9	11	2	656
KDM6A_chrX_44820615__RRM2_chr2_10262728	230	59	16	0	69	7
KDM6A_chrX_44820615__RRM2_chr2_10262957	752	86	3	19	115	203
KDM6A_chrX_44820615__RUNX1_chr21_36252860	1878	335	8	49	524	384
KDM6A_chrX_44820615__RUNX1_chr21_36252902	140	555	713	52	120	445
KDM6A_chrX_44820615__RUNX1_chr21_36421144	853	233	264	31	65	238
KDM6A_chrX_44820615__SETD2_chr3_47142951	1015	430	300	37	251	75
KDM6A_chrX_44820615__SETD2_chr3_47142972	769	68	236	18	131	165
KDM6A_chrX_44820615__SMAD4_chr18_48575673	436	101	6	9	65	306
KDM6A_chrX_44820615__SMARCA4_chr19_11094819	1189	114	1071	53	667	607
KDM6A_chrX_44820615__SMARCA4_chr19_11094851	1732	169	2163	100	1231	1010
KDM6A_chrX_44820615__SMARCA4_chr19_11095011	1454	777	18	70	652	672
KDM6A_chrX_44820615__SMARCB1_chr22_24129339	1336	122	497	41	62	411
KDM6A_chrX_44820615__SMARCB1_chr22_24133949	1177	100	61	27	178	298
KDM6A_chrX_44820615__SMARCB1_chr22_24133993	6	41	131	5	7	121
KDM6A_chrX_44820615__SRC_chr20_36012562	462	65	6	9	39	1
KDM6A_chrX_44820615__SRC_chr20_36014563	1353	249	1425	55	395	590
KDM6A_chrX_44820615__SRC_chr20_36022600	915	623	398	197	1933	1112
KDM6A_chrX_44820615__TOP1_chr20_39690055	2	44	2	2	2	86
KDM6A_chrX_44820615__TOP1_chr20_39690109	4	261	46	9	0	6
KDM6A_chrX_44820615__TP53_chr17_7577537	435	314	80	25	56	330
KDM6A_chrX_44820615__TP53_chr17_7578373	15	264	5	32	973	302
KDM6A_chrX_44820615__TSC1_chr9_135804256	154	915	6	48	3	482
KDM6A_chrX_44820615__TYMS_chr18_659656	782	89	18	31	218	205
KDM6A_chrX_44820615__VEGFA_chr6_43738425	292	193	187	40	866	900
KDM6A_chrX_44820615__VEGFA_chr6_43742077	295	312	1365	65	818	545
KDM6A_chrX_44820615__VHL_chr3_10183773	311	252	139	36	256	612
KDM6A_chrX_44820615__WEE1_chr11_9595462	838	776	2563	126	1525	734
KDM6A_chrX_44820616__ABL1_chr9_133738283	948	694	496	101	753	388
KDM6A_chrX_44820616__ADA_chr20_43257696	240	1143	308	88	82	919
KDM6A_chrX_44820616__ADA_chr20_43257769	1108	289	1089	95	920	819
KDM6A_chrX_44820616__AKT1_chr14_105258968	440	452	454	109	1564	380
KDM6A_chrX_44820616__ALK_chr2_29541171	2	40	4	12	179	219
KDM6A_chrX_44820616__ALK_chr2_29541172	694	1192	128	157	1244	2235
KDM6A_chrX_44820616__APC_chr5_112102023	80	82	0	8	0	3
KDM6A_chrX_44820616__APC_chr5_112102933	60	164	5	11	3	9
KDM6A_chrX_44820616__ARID1A_chr1_27022876	244	48	130	36	665	178
KDM6A_chrX_44820616__ARID1A_chr1_27056288	1022	751	530	115	613	313
KDM6A_chrX_44820616__ARID2_chr12_46123614	3	46	8	1	2	5
KDM6A_chrX_44820616__ATM_chr11_108098390	263	111	6	12	92	10
KDM6A_chrX_44820616__ATM_chr11_108098402	1	69	479	25	57	190
KDM6A_chrX_44820616__BCL2_chr18_60795945	903	272	403	49	17	449
KDM6A_chrX_44820616__BCL2_chr18_60795960	166	233	104	30	37	551
KDM6A_chrX_44820616__BCL2_chr18_60985877	90	89	6	24	86	538
KDM6A_chrX_44820616__BRAF_chr7_140624501	5	209	308	37	306	651
KDM6A_chrX_44820616__BRCA1_chr17_41256141	667	117	397	40	2	349
KDM6A_chrX_44820616__BRCA1_chr17_41267735	115	119	2	22	3	324
KDM6A_chrX_44820616__BRCA2_chr13_32914228	185	80	45	14	109	10
KDM6A_chrX_44820616__BRD4_chr19_15376403	713	638	351	88	142	756
KDM6A_chrX_44820616__BRD4_chr19_15383894	148	148	3	29	700	111
KDM6A_chrX_44820616__BTK_chrX_100626613	6	50	6	3	0	10
KDM6A_chrX_44820616__BTK_chrX_100645534	6	117	99	14	418	175
KDM6A_chrX_44820616__CASP8_chr2_202134297	1544	109	519	99	1722	434
KDM6A_chrX_44820616__CDH1_chr16_68771300	850	571	215	88	18	1340
KDM6A_chrX_44820616__CDH1_chr16_68772255	1	68	8	4	1	5
KDM6A_chrX_44820616__CDK4_chr12_58143253	364	142	54	35	565	330
KDM6A_chrX_44820616__CDK4_chr12_58144705	26	80	156	26	415	199
KDM6A_chrX_44820616__CDK6_chr7_92244474	316	162	69	29	65	100
KDM6A_chrX_44820616__CDK6_chr7_92252365	1063	510	137	113	1644	1189
KDM6A_chrX_44820616__CDK9_chr9_130548409	202	113	345	58	967	940
KDM6A_chrX_44820616__CDK9_chr9_130550235	1180	510	856	149	1338	1491
KDM6A_chrX_44820616__CDKN2A_chr9_21994327	334	58	422	50	810	3
KDM6A_chrX_44820616__CHEK1_chr11_125496644	832	90	90	47	333	282
KDM6A_chrX_44820616__CHEK2_chr22_29085137	213	276	1548	92	738	329
KDM6A_chrX_44820616__CHEK2_chr22_29090029	13	40	10	5	3	4
KDM6A_chrX_44820616__CHEK2_chr22_29130694	1915	156	1512	117	398	735
KDM6A_chrX_44820616__DHFR_chr5_79949819	313	252	173	49	559	641
KDM6A_chrX_44820616__DHFR_chr5_79950216	232	343	760	90	748	417
KDM6A_chrX_44820616__EGFR_chr7_55209992	355	105	537	32	4	10
KDM6A_chrX_44820616__ERBB2_chr17_37855800	1000	70	132	48	472	267
KDM6A_chrX_44820616__ERBB2_chr17_37868221	531	240	8	23	1	25
KDM6A_chrX_44820616__FGFR2_chr10_123298215	6	126	82	12	3	174
KDM6A_chrX_44820616__FGFR3_chr4_1795655	181	453	7	35	4	141
KDM6A_chrX_44820616__FGFR3_chr4_1795736	231	74	38	15	3	154
KDM6A_chrX_44820616__FLT3_chr13_28636131	115	289	710	60	662	442
KDM6A_chrX_44820616__HDAC1_chr1_32757816	672	387	251	79	384	858
KDM6A_chrX_44820616__HDAC1_chr1_32792601	1290	113	545	56	203	154
