construct_id	ln229_cas9trex2B_t0_S5_trimmed53_len_filtered_counts	ln229_cas9B_t0_S3_trimmed53_len_filtered_counts	ln229_cas9trex2A_t0_S4_trimmed53_len_filtered_counts	ln229_cas9A_t0_S2_trimmed53_len_filtered_counts	ln229_parent_t0_S1_trimmed53_len_filtered_counts
NF1_chr17_29483039__DHFR_chr5_79950216	662	1	1	1	516
NF1_chr17_29483039__EGFR_chr7_55086962	2	0	0	1	4
NF1_chr17_29483039__ERBB2_chr17_37868221	0	0	0	1365	1
NF1_chr17_29483039__ERBB2_chr17_37868292	393	567	21	5	1
NF1_chr17_29483039__FGFR2_chr10_123353328	314	1	2204	1	1
NF1_chr17_29483039__FGFR3_chr4_1795655	0	2	390	0	2
NF1_chr17_29483039__FGFR3_chr4_1795735	1759	1	289	3731	7
NF1_chr17_29483039__FGFR3_chr4_1795736	328	1	0	1	0
NF1_chr17_29483039__FLT3_chr13_28636131	262	1164	0	2	3024
NF1_chr17_29483039__HDAC1_chr1_32757816	297	0	0	2596	4
NF1_chr17_29483039__HDAC1_chr1_32792601	71	2	0	0	1
NF1_chr17_29483039__HDAC1_chr1_32792637	342	2	285	1	3
NF1_chr17_29483039__HDAC2_chr6_114292056	407	1	2	442	2443
NF1_chr17_29483039__HDAC6_chrX_48661089	627	4282	0	1415	5
NF1_chr17_29483039__HSP90AA1_chr14_102552141	4	0	1	381	1
NF1_chr17_29483039__HSP90AA1_chr14_102605736	1195	2	0	924	1
NF1_chr17_29483039__IGF1R_chr15_99192824	64	7	179	664	1
NF1_chr17_29483039__IGF1R_chr15_99434664	293	2	206	599	2
NF1_chr17_29483039__KDM5C_chrX_53254068	29	1	334	0	1
NF1_chr17_29483039__KDM6A_chrX_44820616	719	0	0	1	241
NF1_chr17_29483039__KIT_chr4_55524164	2	0	993	2	0
NF1_chr17_29483039__KIT_chr4_55524229	0	0	0	0	10
NF1_chr17_29483039__KMT2D_chr12_49448468	212	6	0	6	4487
NF1_chr17_29483039__MAP3K1_chr5_56111382	33	0	1	0	0
NF1_chr17_29483039__MAP3K1_chr5_56152466	338	133	0	1	1
NF1_chr17_29483039__MAP3K1_chr5_56152485	3176	522	406	0	1146
NF1_chr17_29483039__MET_chr7_116340188	945	1	1	3	0
NF1_chr17_29483039__MLH1_chr3_37035029	887	5	391	0	3
NF1_chr17_29483039__MLH1_chr3_37038179	40	1	0	2	1142
NF1_chr17_29483039__MSH6_chr2_48010356	936	3	683	1	0
NF1_chr17_29483039__MTOR_chr1_11317010	440	2	2	1612	3
NF1_chr17_29483039__MTOR_chr1_11317149	1	1	80	0	0
NF1_chr17_29483039__NonTargetingControlGuideForHuman0362	12	3045	259	6	3926
NF1_chr17_29483039__NonTargetingControlGuideForHuman0412	1073	1	395	3292	509
NF1_chr17_29483039__PARP1_chr1_226595581	1863	391	458	278	1107
NF1_chr17_29483039__PBRM1_chr3_52702516	322	176	330	1	2
NF1_chr17_29483039__PBRM1_chr3_52713723	0	0	0	1	1
NF1_chr17_29483039__PDGFRA_chr4_55129914	1346	5313	97	3268	1
NF1_chr17_29483039__PIK3R1_chr5_67522521	702	9847	7	13	3
NF1_chr17_29483039__PIK3R1_chr5_67576410	130	0	0	0	0
NF1_chr17_29483039__PIK3R1_chr5_67576421	33	2	0	2	0
NF1_chr17_29483039__PRKDC_chr8_48686398	480	0	302	0	2
NF1_chr17_29483039__PRKDC_chr8_48686781	1856	606	50	94	578
NF1_chr17_29483039__PRKDC_chr8_48872683	870	1	849	1400	808
NF1_chr17_29483039__PTEN_chr10_89653786	1	3	239	0	1
NF1_chr17_29483039__PTEN_chr10_89685297	52	3	30	42	1
NF1_chr17_29483039__RB1_chr13_48878054	353	449	1	2	0
NF1_chr17_29483039__RB1_chr13_48934148	410	0	0	0	1
NF1_chr17_29483039__ROR1_chr1_64240072	298	4	14	3	1762
NF1_chr17_29483039__ROR1_chr1_64240143	1319	0	359	2	1
NF1_chr17_29483039__RPS6KB1_chr17_57970538	2467	605	186	66	1
NF1_chr17_29483039__RRM2_chr2_10262728	945	4	563	578	8
NF1_chr17_29483039__RRM2_chr2_10262940	363	0	0	3496	629
NF1_chr17_29483039__RUNX1_chr21_36252860	132	2	0	2	2
NF1_chr17_29483039__RUNX1_chr21_36252902	754	307	852	0	4
NF1_chr17_29483039__SETD2_chr3_47142951	59	2	59	195	3339
NF1_chr17_29483039__SMAD4_chr18_48573460	0	0	0	58	0
NF1_chr17_29483039__SMAD4_chr18_48586241	261	0	1	2	1
NF1_chr17_29483039__SMO_chr7_128828974	682	1767	47	387	2
NF1_chr17_29483039__SMO_chr7_128845081	1	2	0	771	0
NF1_chr17_29483039__SMO_chr7_128845117	159	0	101	0	987
NF1_chr17_29483039__SRC_chr20_36012562	241	1605	0	1	2
NF1_chr17_29483039__SRC_chr20_36014563	897	1	68	0	2
NF1_chr17_29483039__SRC_chr20_36022600	37	36	4	1078	1
NF1_chr17_29483039__TOP1_chr20_39657693	1158	1	24	3110	11
NF1_chr17_29483039__TP53_chr17_7577537	202	4	777	325	1982
NF1_chr17_29483039__TP53_chr17_7579881	1227	1176	1	4	316
NF1_chr17_29483039__TSC1_chr9_135796748	1429	1	0	2	509
NF1_chr17_29483039__TSC1_chr9_135796796	894	1214	0	770	0
NF1_chr17_29483039__TYMS_chr18_657730	1377	1081	531	3415	3012
NF1_chr17_29483039__TYMS_chr18_659656	1	2	55	1	1455
NF1_chr17_29483039__TYMS_chr18_659665	9	1	0	335	4
NF1_chr17_29483039__VEGFA_chr6_43742077	189	1	229	474	377
NF1_chr17_29483039__VEGFA_chr6_43742108	616	2	0	0	1
NF1_chr17_29483039__VHL_chr3_10183518	1	22	0	0	1
NF1_chr17_29483039__VHL_chr3_10183791	1	2	0	346	1123
NF1_chr17_29483039__WEE1_chr11_9595462	720	2	252	5	3030
NF1_chr17_29483039__WEE1_chr11_9595542	1255	3113	1267	2	6
NonTargetingControlGuideForHuman0001__NonTargetingControlGuideForHuman0002	2	0	0	0	0
NonTargetingControlGuideForHuman0001__NonTargetingControlGuideForHuman0008	0	0	0	0	0
NonTargetingControlGuideForHuman0001__NonTargetingControlGuideForHuman0009	0	0	0	0	0
NonTargetingControlGuideForHuman0001__NonTargetingControlGuideForHuman0029	70	507	636	0	449
NonTargetingControlGuideForHuman0001__NonTargetingControlGuideForHuman0082	0	1	0	0	2204
NonTargetingControlGuideForHuman0001__NonTargetingControlGuideForHuman0084	0	0	0	0	0
NonTargetingControlGuideForHuman0001__NonTargetingControlGuideForHuman0093	0	0	0	0	0
NonTargetingControlGuideForHuman0001__NonTargetingControlGuideForHuman0159	0	0	0	0	0
NonTargetingControlGuideForHuman0001__NonTargetingControlGuideForHuman0276	0	0	16	0	0
NonTargetingControlGuideForHuman0001__NonTargetingControlGuideForHuman0323	0	0	0	0	0
NonTargetingControlGuideForHuman0001__NonTargetingControlGuideForHuman0352	20	1	8	225	2290
NonTargetingControlGuideForHuman0001__NonTargetingControlGuideForHuman0362	564	0	17	0	0
NonTargetingControlGuideForHuman0001__NonTargetingControlGuideForHuman0412	200	1362	0	3	992
NonTargetingControlGuideForHuman0001__NonTargetingControlGuideForHuman0515	0	0	0	0	0
NonTargetingControlGuideForHuman0002__NonTargetingControlGuideForHuman0006	0	0	0	0	0
NonTargetingControlGuideForHuman0002__NonTargetingControlGuideForHuman0008	0	0	0	0	0
NonTargetingControlGuideForHuman0002__NonTargetingControlGuideForHuman0009	0	0	0	0	0
NonTargetingControlGuideForHuman0002__NonTargetingControlGuideForHuman0082	0	0	0	0	0
NonTargetingControlGuideForHuman0002__NonTargetingControlGuideForHuman0084	0	0	0	0	0
NonTargetingControlGuideForHuman0002__NonTargetingControlGuideForHuman0098	0	0	0	0	0
NonTargetingControlGuideForHuman0002__NonTargetingControlGuideForHuman0276	0	0	0	61	0
NonTargetingControlGuideForHuman0002__NonTargetingControlGuideForHuman0316	0	0	0	0	150
NonTargetingControlGuideForHuman0002__NonTargetingControlGuideForHuman0323	0	0	0	0	0
NonTargetingControlGuideForHuman0002__NonTargetingControlGuideForHuman0412	0	0	0	0	0
NonTargetingControlGuideForHuman0002__NonTargetingControlGuideForHuman0515	0	0	39	0	0
NonTargetingControlGuideForHuman0006__NonTargetingControlGuideForHuman0001	0	0	188	1	0
NonTargetingControlGuideForHuman0006__NonTargetingControlGuideForHuman0028	0	0	0	0	0
NonTargetingControlGuideForHuman0006__NonTargetingControlGuideForHuman0029	0	0	0	0	0
NonTargetingControlGuideForHuman0006__NonTargetingControlGuideForHuman0084	0	0	0	0	0
NonTargetingControlGuideForHuman0006__NonTargetingControlGuideForHuman0094	0	0	0	0	0
NonTargetingControlGuideForHuman0006__NonTargetingControlGuideForHuman0098	718	0	177	1	0
NonTargetingControlGuideForHuman0006__NonTargetingControlGuideForHuman0152	69	0	0	0	0
NonTargetingControlGuideForHuman0006__NonTargetingControlGuideForHuman0276	3	0	0	0	0
NonTargetingControlGuideForHuman0006__NonTargetingControlGuideForHuman0316	592	1399	0	0	2
NonTargetingControlGuideForHuman0006__NonTargetingControlGuideForHuman0323	0	0	0	0	0
NonTargetingControlGuideForHuman0006__NonTargetingControlGuideForHuman0515	0	0	0	0	0
NonTargetingControlGuideForHuman0008__NonTargetingControlGuideForHuman0006	0	0	0	0	0
NonTargetingControlGuideForHuman0008__NonTargetingControlGuideForHuman0009	1	0	0	1762	0
NonTargetingControlGuideForHuman0008__NonTargetingControlGuideForHuman0084	4	937	136	0	547
NonTargetingControlGuideForHuman0008__NonTargetingControlGuideForHuman0094	0	0	0	0	0
NonTargetingControlGuideForHuman0008__NonTargetingControlGuideForHuman0152	113	2745	0	2	0
NonTargetingControlGuideForHuman0008__NonTargetingControlGuideForHuman0244	0	2	0	0	0
NonTargetingControlGuideForHuman0008__NonTargetingControlGuideForHuman0316	1148	1	0	0	89
NonTargetingControlGuideForHuman0008__NonTargetingControlGuideForHuman0322	0	1160	59	1	0
NonTargetingControlGuideForHuman0008__NonTargetingControlGuideForHuman0352	33	1	0	1	0
NonTargetingControlGuideForHuman0008__NonTargetingControlGuideForHuman0412	33	1	0	0	1
NonTargetingControlGuideForHuman0009__NonTargetingControlGuideForHuman0006	21	0	0	1029	0
NonTargetingControlGuideForHuman0009__NonTargetingControlGuideForHuman0029	0	1423	0	3	0
NonTargetingControlGuideForHuman0009__NonTargetingControlGuideForHuman0082	163	0	0	0	0
NonTargetingControlGuideForHuman0009__NonTargetingControlGuideForHuman0093	0	0	0	0	0
NonTargetingControlGuideForHuman0009__NonTargetingControlGuideForHuman0094	0	0	0	0	0
NonTargetingControlGuideForHuman0009__NonTargetingControlGuideForHuman0098	0	1	0	0	0
NonTargetingControlGuideForHuman0009__NonTargetingControlGuideForHuman0152	60	0	0	0	0
NonTargetingControlGuideForHuman0009__NonTargetingControlGuideForHuman0159	0	0	0	0	0
NonTargetingControlGuideForHuman0009__NonTargetingControlGuideForHuman0276	0	0	0	0	0
NonTargetingControlGuideForHuman0009__NonTargetingControlGuideForHuman0316	178	0	968	0	1
NonTargetingControlGuideForHuman0009__NonTargetingControlGuideForHuman0322	0	0	0	0	0
NonTargetingControlGuideForHuman0009__NonTargetingControlGuideForHuman0323	0	0	0	0	0
NonTargetingControlGuideForHuman0009__NonTargetingControlGuideForHuman0515	393	0	0	0	0
NonTargetingControlGuideForHuman0028__NonTargetingControlGuideForHuman0001	449	0	0	1	0
NonTargetingControlGuideForHuman0028__NonTargetingControlGuideForHuman0002	324	0	17	0	0
NonTargetingControlGuideForHuman0028__NonTargetingControlGuideForHuman0008	0	0	14	0	0
NonTargetingControlGuideForHuman0028__NonTargetingControlGuideForHuman0009	1478	0	352	711	1
NonTargetingControlGuideForHuman0028__NonTargetingControlGuideForHuman0093	17	120	0	0	0
NonTargetingControlGuideForHuman0028__NonTargetingControlGuideForHuman0157	0	0	0	0	0
NonTargetingControlGuideForHuman0028__NonTargetingControlGuideForHuman0159	331	0	930	0	0
NonTargetingControlGuideForHuman0028__NonTargetingControlGuideForHuman0244	0	0	42	0	0
NonTargetingControlGuideForHuman0028__NonTargetingControlGuideForHuman0322	386	0	0	425	0
NonTargetingControlGuideForHuman0028__NonTargetingControlGuideForHuman0352	6	0	485	1	2
NonTargetingControlGuideForHuman0028__NonTargetingControlGuideForHuman0362	0	6	0	0	1
NonTargetingControlGuideForHuman0028__NonTargetingControlGuideForHuman0412	1	0	0	0	0
NonTargetingControlGuideForHuman0028__NonTargetingControlGuideForHuman0586	0	0	0	0	0
NonTargetingControlGuideForHuman0029__NonTargetingControlGuideForHuman0002	72	0	426	138	0
NonTargetingControlGuideForHuman0029__NonTargetingControlGuideForHuman0008	0	0	0	0	0
NonTargetingControlGuideForHuman0029__NonTargetingControlGuideForHuman0028	381	0	0	0	0
NonTargetingControlGuideForHuman0029__NonTargetingControlGuideForHuman0094	0	0	0	0	0
NonTargetingControlGuideForHuman0029__NonTargetingControlGuideForHuman0157	305	0	0	955	0
NonTargetingControlGuideForHuman0029__NonTargetingControlGuideForHuman0244	0	0	0	0	0
NonTargetingControlGuideForHuman0029__NonTargetingControlGuideForHuman0316	30	2	454	0	0
NonTargetingControlGuideForHuman0029__NonTargetingControlGuideForHuman0323	0	0	0	0	0
NonTargetingControlGuideForHuman0029__NonTargetingControlGuideForHuman0362	21	0	0	0	0
NonTargetingControlGuideForHuman0029__NonTargetingControlGuideForHuman0586	0	3300	0	1	0
NonTargetingControlGuideForHuman0039__NonTargetingControlGuideForHuman0040	166	0	0	0	0
NonTargetingControlGuideForHuman0039__NonTargetingControlGuideForHuman0069	41	0	0	0	0
NonTargetingControlGuideForHuman0039__NonTargetingControlGuideForHuman0072	0	0	0	0	0
NonTargetingControlGuideForHuman0039__NonTargetingControlGuideForHuman0074	0	0	216	0	0
NonTargetingControlGuideForHuman0039__NonTargetingControlGuideForHuman0076	0	0	0	0	0
NonTargetingControlGuideForHuman0039__NonTargetingControlGuideForHuman0178	0	0	0	722	1
NonTargetingControlGuideForHuman0039__NonTargetingControlGuideForHuman0264	0	0	0	0	0
NonTargetingControlGuideForHuman0039__NonTargetingControlGuideForHuman0273	0	223	0	0	0
NonTargetingControlGuideForHuman0039__NonTargetingControlGuideForHuman0274	0	0	0	0	0
NonTargetingControlGuideForHuman0039__NonTargetingControlGuideForHuman0352	887	511	1	1	1
NonTargetingControlGuideForHuman0039__NonTargetingControlGuideForHuman0362	36	2	0	0	0
NonTargetingControlGuideForHuman0039__NonTargetingControlGuideForHuman0433	0	0	0	0	0
NonTargetingControlGuideForHuman0039__NonTargetingControlGuideForHuman0434	0	0	0	0	0
NonTargetingControlGuideForHuman0040__NonTargetingControlGuideForHuman0068	0	0	0	0	0
NonTargetingControlGuideForHuman0040__NonTargetingControlGuideForHuman0069	1	0	0	960	0
NonTargetingControlGuideForHuman0040__NonTargetingControlGuideForHuman0074	460	29	1	1178	2
NonTargetingControlGuideForHuman0040__NonTargetingControlGuideForHuman0079	0	0	0	0	0
NonTargetingControlGuideForHuman0040__NonTargetingControlGuideForHuman0095	19	0	0	0	0
NonTargetingControlGuideForHuman0040__NonTargetingControlGuideForHuman0179	289	0	0	0	0
NonTargetingControlGuideForHuman0040__NonTargetingControlGuideForHuman0246	54	354	0	0	1
NonTargetingControlGuideForHuman0040__NonTargetingControlGuideForHuman0273	1	0	0	373	0
NonTargetingControlGuideForHuman0040__NonTargetingControlGuideForHuman0274	177	0	0	0	69
NonTargetingControlGuideForHuman0040__NonTargetingControlGuideForHuman0352	196	0	1	0	0
NonTargetingControlGuideForHuman0040__NonTargetingControlGuideForHuman0412	0	0	0	0	1
NonTargetingControlGuideForHuman0040__NonTargetingControlGuideForHuman0485	634	0	0	1	0
NonTargetingControlGuideForHuman0040__NonTargetingControlGuideForHuman0654	1	0	0	0	0
NonTargetingControlGuideForHuman0041__NonTargetingControlGuideForHuman0039	59	0	0	0	0
NonTargetingControlGuideForHuman0041__NonTargetingControlGuideForHuman0040	0	0	0	0	0
NonTargetingControlGuideForHuman0041__NonTargetingControlGuideForHuman0068	0	0	0	0	0
NonTargetingControlGuideForHuman0041__NonTargetingControlGuideForHuman0069	220	0	244	1	0
NonTargetingControlGuideForHuman0041__NonTargetingControlGuideForHuman0077	542	0	451	1	0
NonTargetingControlGuideForHuman0041__NonTargetingControlGuideForHuman0095	223	0	255	0	0
NonTargetingControlGuideForHuman0041__NonTargetingControlGuideForHuman0178	0	0	0	0	0
NonTargetingControlGuideForHuman0041__NonTargetingControlGuideForHuman0179	0	0	0	0	0
NonTargetingControlGuideForHuman0041__NonTargetingControlGuideForHuman0246	0	0	0	0	0
NonTargetingControlGuideForHuman0041__NonTargetingControlGuideForHuman0273	553	0	0	1	0
NonTargetingControlGuideForHuman0041__NonTargetingControlGuideForHuman0352	799	1532	1	72	1
NonTargetingControlGuideForHuman0041__NonTargetingControlGuideForHuman0362	123	1	0	24	0
NonTargetingControlGuideForHuman0041__NonTargetingControlGuideForHuman0485	0	0	0	0	0
NonTargetingControlGuideForHuman0041__NonTargetingControlGuideForHuman0654	941	1350	0	4	4139
NonTargetingControlGuideForHuman0068__NonTargetingControlGuideForHuman0039	0	0	74	1119	0
NonTargetingControlGuideForHuman0068__NonTargetingControlGuideForHuman0072	0	0	0	0	0
NonTargetingControlGuideForHuman0068__NonTargetingControlGuideForHuman0077	563	707	0	3	1
NonTargetingControlGuideForHuman0068__NonTargetingControlGuideForHuman0095	0	0	0	0	0
NonTargetingControlGuideForHuman0068__NonTargetingControlGuideForHuman0178	0	0	0	0	0
NonTargetingControlGuideForHuman0068__NonTargetingControlGuideForHuman0246	551	0	0	0	1
NonTargetingControlGuideForHuman0068__NonTargetingControlGuideForHuman0264	0	0	0	0	0
NonTargetingControlGuideForHuman0068__NonTargetingControlGuideForHuman0284	0	0	0	0	0
NonTargetingControlGuideForHuman0068__NonTargetingControlGuideForHuman0352	614	257	73	1	0
NonTargetingControlGuideForHuman0068__NonTargetingControlGuideForHuman0412	0	0	0	0	0
NonTargetingControlGuideForHuman0068__NonTargetingControlGuideForHuman0433	49	0	0	0	0
NonTargetingControlGuideForHuman0068__NonTargetingControlGuideForHuman0654	0	1640	0	1	0
NonTargetingControlGuideForHuman0069__NonTargetingControlGuideForHuman0068	383	1015	0	1	0
NonTargetingControlGuideForHuman0069__NonTargetingControlGuideForHuman0074	718	0	140	1	0
NonTargetingControlGuideForHuman0069__NonTargetingControlGuideForHuman0178	32	0	0	0	0
NonTargetingControlGuideForHuman0069__NonTargetingControlGuideForHuman0273	0	0	0	0	0
NonTargetingControlGuideForHuman0069__NonTargetingControlGuideForHuman0274	0	0	0	0	0
NonTargetingControlGuideForHuman0069__NonTargetingControlGuideForHuman0284	175	0	161	0	0
NonTargetingControlGuideForHuman0069__NonTargetingControlGuideForHuman0352	93	0	0	2112	1
NonTargetingControlGuideForHuman0069__NonTargetingControlGuideForHuman0362	316	0	0	0	0
NonTargetingControlGuideForHuman0069__NonTargetingControlGuideForHuman0485	16	0	0	0	0
NonTargetingControlGuideForHuman0069__NonTargetingControlGuideForHuman0654	447	639	182	205	3591
NonTargetingControlGuideForHuman0072__NonTargetingControlGuideForHuman0040	66	0	0	0	0
NonTargetingControlGuideForHuman0072__NonTargetingControlGuideForHuman0041	174	2	9	0	1250
NonTargetingControlGuideForHuman0072__NonTargetingControlGuideForHuman0069	78	171	2	1093	0
NonTargetingControlGuideForHuman0072__NonTargetingControlGuideForHuman0074	342	268	0	0	0
NonTargetingControlGuideForHuman0072__NonTargetingControlGuideForHuman0076	0	0	0	0	0
NonTargetingControlGuideForHuman0072__NonTargetingControlGuideForHuman0077	214	354	143	110	0
NonTargetingControlGuideForHuman0072__NonTargetingControlGuideForHuman0079	104	0	20	394	0
NonTargetingControlGuideForHuman0072__NonTargetingControlGuideForHuman0179	746	0	134	0	0
NonTargetingControlGuideForHuman0072__NonTargetingControlGuideForHuman0264	0	0	0	0	0
NonTargetingControlGuideForHuman0072__NonTargetingControlGuideForHuman0273	86	0	0	0	0
NonTargetingControlGuideForHuman0072__NonTargetingControlGuideForHuman0274	227	0	0	0	0
NonTargetingControlGuideForHuman0072__NonTargetingControlGuideForHuman0434	0	0	0	0	0
NonTargetingControlGuideForHuman0072__NonTargetingControlGuideForHuman0485	0	0	0	0	0
NonTargetingControlGuideForHuman0074__NonTargetingControlGuideForHuman0041	0	0	0	0	0
NonTargetingControlGuideForHuman0074__NonTargetingControlGuideForHuman0068	0	0	0	0	1
NonTargetingControlGuideForHuman0074__NonTargetingControlGuideForHuman0076	0	0	0	0	0
NonTargetingControlGuideForHuman0074__NonTargetingControlGuideForHuman0077	0	0	0	0	0
NonTargetingControlGuideForHuman0074__NonTargetingControlGuideForHuman0095	533	90	676	0	0
NonTargetingControlGuideForHuman0074__NonTargetingControlGuideForHuman0178	874	0	0	0	46
NonTargetingControlGuideForHuman0074__NonTargetingControlGuideForHuman0246	1	0	0	363	0
NonTargetingControlGuideForHuman0074__NonTargetingControlGuideForHuman0284	0	0	0	0	0
NonTargetingControlGuideForHuman0074__NonTargetingControlGuideForHuman0352	772	605	0	0	2
NonTargetingControlGuideForHuman0074__NonTargetingControlGuideForHuman0362	545	0	0	0	1
NonTargetingControlGuideForHuman0074__NonTargetingControlGuideForHuman0485	60	0	0	697	0
NonTargetingControlGuideForHuman0076__NonTargetingControlGuideForHuman0040	0	0	0	0	2
NonTargetingControlGuideForHuman0076__NonTargetingControlGuideForHuman0041	0	0	0	0	0
NonTargetingControlGuideForHuman0076__NonTargetingControlGuideForHuman0068	0	1279	0	1	0
NonTargetingControlGuideForHuman0076__NonTargetingControlGuideForHuman0069	0	0	0	0	0
NonTargetingControlGuideForHuman0076__NonTargetingControlGuideForHuman0178	0	0	1107	1	1
NonTargetingControlGuideForHuman0076__NonTargetingControlGuideForHuman0179	0	0	0	0	0
NonTargetingControlGuideForHuman0076__NonTargetingControlGuideForHuman0273	0	0	0	0	0
NonTargetingControlGuideForHuman0076__NonTargetingControlGuideForHuman0274	1137	0	1	0	0
NonTargetingControlGuideForHuman0076__NonTargetingControlGuideForHuman0362	0	0	0	0	4
NonTargetingControlGuideForHuman0076__NonTargetingControlGuideForHuman0485	0	0	0	0	0
NonTargetingControlGuideForHuman0076__NonTargetingControlGuideForHuman0654	5	0	0	0	0
NonTargetingControlGuideForHuman0077__NonTargetingControlGuideForHuman0039	0	0	0	0	0
NonTargetingControlGuideForHuman0077__NonTargetingControlGuideForHuman0040	0	0	0	0	0
NonTargetingControlGuideForHuman0077__NonTargetingControlGuideForHuman0069	0	0	0	0	0
NonTargetingControlGuideForHuman0077__NonTargetingControlGuideForHuman0076	682	0	156	1	458
NonTargetingControlGuideForHuman0077__NonTargetingControlGuideForHuman0079	0	0	0	0	0
NonTargetingControlGuideForHuman0077__NonTargetingControlGuideForHuman0179	85	0	0	656	0
NonTargetingControlGuideForHuman0077__NonTargetingControlGuideForHuman0264	0	0	0	0	0
NonTargetingControlGuideForHuman0077__NonTargetingControlGuideForHuman0273	435	0	1213	0	0
NonTargetingControlGuideForHuman0077__NonTargetingControlGuideForHuman0274	154	0	0	0	0
NonTargetingControlGuideForHuman0077__NonTargetingControlGuideForHuman0412	19	0	0	1	0
NonTargetingControlGuideForHuman0077__NonTargetingControlGuideForHuman0433	194	0	0	1	0
NonTargetingControlGuideForHuman0077__NonTargetingControlGuideForHuman0654	273	0	0	929	1
NonTargetingControlGuideForHuman0079__NonTargetingControlGuideForHuman0039	0	0	58	0	0
NonTargetingControlGuideForHuman0079__NonTargetingControlGuideForHuman0041	393	0	0	0	0
NonTargetingControlGuideForHuman0079__NonTargetingControlGuideForHuman0068	0	0	0	0	0
NonTargetingControlGuideForHuman0079__NonTargetingControlGuideForHuman0069	621	0	0	1	0
NonTargetingControlGuideForHuman0079__NonTargetingControlGuideForHuman0074	170	120	551	2	0
NonTargetingControlGuideForHuman0079__NonTargetingControlGuideForHuman0076	0	0	0	0	0
NonTargetingControlGuideForHuman0079__NonTargetingControlGuideForHuman0273	13	0	0	0	0
NonTargetingControlGuideForHuman0079__NonTargetingControlGuideForHuman0352	888	0	0	1336	1
NonTargetingControlGuideForHuman0079__NonTargetingControlGuideForHuman0362	0	1676	516	1	1184
NonTargetingControlGuideForHuman0079__NonTargetingControlGuideForHuman0434	0	0	0	0	0
NonTargetingControlGuideForHuman0082__NonTargetingControlGuideForHuman0006	0	1	0	0	0
NonTargetingControlGuideForHuman0082__NonTargetingControlGuideForHuman0008	1	0	22	0	0
NonTargetingControlGuideForHuman0082__NonTargetingControlGuideForHuman0028	0	1	0	0	0
NonTargetingControlGuideForHuman0082__NonTargetingControlGuideForHuman0029	0	0	0	0	0
NonTargetingControlGuideForHuman0082__NonTargetingControlGuideForHuman0084	230	0	1	0	406
NonTargetingControlGuideForHuman0082__NonTargetingControlGuideForHuman0094	0	0	0	0	0
NonTargetingControlGuideForHuman0082__NonTargetingControlGuideForHuman0152	0	1634	0	0	0
NonTargetingControlGuideForHuman0082__NonTargetingControlGuideForHuman0157	41	0	0	0	0
NonTargetingControlGuideForHuman0082__NonTargetingControlGuideForHuman0244	34	0	0	0	0
NonTargetingControlGuideForHuman0082__NonTargetingControlGuideForHuman0316	0	0	21	0	0
NonTargetingControlGuideForHuman0082__NonTargetingControlGuideForHuman0322	330	0	0	0	0
NonTargetingControlGuideForHuman0084__NonTargetingControlGuideForHuman0009	353	1	0	1	0
NonTargetingControlGuideForHuman0084__NonTargetingControlGuideForHuman0028	0	3024	278	0	0
NonTargetingControlGuideForHuman0084__NonTargetingControlGuideForHuman0029	46	0	0	0	0
NonTargetingControlGuideForHuman0084__NonTargetingControlGuideForHuman0093	1	0	534	1206	0
NonTargetingControlGuideForHuman0084__NonTargetingControlGuideForHuman0094	83	0	0	1	0
NonTargetingControlGuideForHuman0084__NonTargetingControlGuideForHuman0152	521	2	2	1020	3266
NonTargetingControlGuideForHuman0084__NonTargetingControlGuideForHuman0157	4	0	0	0	0
NonTargetingControlGuideForHuman0084__NonTargetingControlGuideForHuman0159	0	0	0	0	0
NonTargetingControlGuideForHuman0084__NonTargetingControlGuideForHuman0244	16	0	0	0	0
NonTargetingControlGuideForHuman0084__NonTargetingControlGuideForHuman0316	22	0	679	0	0
NonTargetingControlGuideForHuman0084__NonTargetingControlGuideForHuman0352	492	0	0	0	2
NonTargetingControlGuideForHuman0084__NonTargetingControlGuideForHuman0412	25	0	0	0	1
NonTargetingControlGuideForHuman0084__NonTargetingControlGuideForHuman0586	0	0	0	0	0
NonTargetingControlGuideForHuman0093__NonTargetingControlGuideForHuman0002	0	0	0	0	0
NonTargetingControlGuideForHuman0093__NonTargetingControlGuideForHuman0006	0	0	0	0	0
NonTargetingControlGuideForHuman0093__NonTargetingControlGuideForHuman0008	0	0	0	0	0
NonTargetingControlGuideForHuman0093__NonTargetingControlGuideForHuman0029	0	0	0	0	0
NonTargetingControlGuideForHuman0093__NonTargetingControlGuideForHuman0082	0	0	0	0	0
NonTargetingControlGuideForHuman0093__NonTargetingControlGuideForHuman0157	43	0	47	0	0
NonTargetingControlGuideForHuman0093__NonTargetingControlGuideForHuman0159	847	132	0	1	0
NonTargetingControlGuideForHuman0093__NonTargetingControlGuideForHuman0244	19	0	0	0	0
NonTargetingControlGuideForHuman0093__NonTargetingControlGuideForHuman0322	0	0	0	0	0
NonTargetingControlGuideForHuman0093__NonTargetingControlGuideForHuman0352	188	0	0	0	0
NonTargetingControlGuideForHuman0093__NonTargetingControlGuideForHuman0362	0	0	0	0	0
NonTargetingControlGuideForHuman0093__NonTargetingControlGuideForHuman0412	0	0	0	0	0
NonTargetingControlGuideForHuman0093__NonTargetingControlGuideForHuman0586	894	1	0	17	3827
